ut_ms,description
1338078195000,"MRB_AOS_10"
1338078593000,"MAD_LOS_10_/_RTLT_01146"
1338078621000,"CEB_LOS_10_/_RTLT_01146"
1338079136000,"MAD_LOS_08_/_RTLT_01146"
1338080171000,"MAD_LOS_05_/_RTLT_01146"
1338080199000,"CEB_LOS_05_/_RTLT_01146"
1338080617000,"CEB_LOS_04_/_RTLT_01146"
1338082907000,"MRB_/_RANGE_06000KM_START"
1338083715000,"4000_KM_DESCEND"
1338084361000,"MAR_PENUMBRA_START"
1338084382000,"MAR_UMBRA_START"
1338085020000,"2000_KM_DESCEND"
1338085164000,"MRB_LOS_10"
1338085375000,"MRB_LOS_00"
1338085564000,"1200_KM_DESCEND"
1338085884000,"800_KM_DESCEND"
1338086081000,"OCC_MARS_200KM_START_/_RA_164.49_/_DE_007.95_/_OMP_(085.52,-60.55)_/_SZA_103"
1338086122000,"MAR_UMBRA_END"
1338086134000,"MAR_PENUMBRA_END"
1338086642000,"PERICENTRE_PASSAGE_10702_/_SSP_(182.94,-68.68)_/_SZA_093"
1338086674000,"OCC_MARS_200KM_END_/_RA_164.49_/_DE_007.95_/_OMP_(161.03,-57.14)_/_SZA_080"
1338086737000,"MRB_/_RANGE_06000KM_END"
1338087414000,"800_KM_ASCEND"
1338087731000,"1200_KM_ASCEND"
1338088269000,"2000_KM_ASCEND"
1338089399000,"CAN_AOS_05_/_RTLT_01147"
1338089565000,"4000_KM_ASCEND"
1338090923000,"CAN_AOS_10_/_RTLT_01147"
1338091112000,"CAN_AOS_11_/_RTLT_01147"
1338091332000,"MLG_LOS_10_/_RTLT_01147"
1338092865000,"MLG_LOS_05_/_RTLT_01147"
1338093687000,"MLG_LOS_02_/_RTLT_01147"
1338095641000,"NNO_AOS_00_/_RTLT_01147"
1338096970000,"NNO_AOS_05_/_RTLT_01148"
1338098410000,"NNO_AOS_10_/_RTLT_01148"
1338099227000,"APOCENTRE_PASSAGE_10703"
1338099456000,"MRB_AOS_00"
1338105505000,"GDS_LOS_10_/_RTLT_01148"
1338106682000,"GDS_LOS_06_/_RTLT_01149"
1338106863000,"MRB_LOS_00"
1338106976000,"GDS_LOS_05_/_RTLT_01149"
1338108882000,"4000_KM_DESCEND"
1338109523000,"MAR_PENUMBRA_START"
1338109543000,"MAR_UMBRA_START"
1338109949000,"MRB_/_RANGE_06000KM_START"
1338110187000,"2000_KM_DESCEND"
1338110205000,"KLZ_AOS_00_/_RTLT_01149"
1338110343000,"BLK_AOS_00_/_RTLT_01149"
1338110731000,"1200_KM_DESCEND"
1338111050000,"800_KM_DESCEND"
1338111241000,"OCC_MARS_200KM_START_/_RA_164.59_/_DE_007.90_/_OMP_(342.37,-60.20)_/_SZA_103"
1338111296000,"MAR_UMBRA_END"
1338111308000,"MAR_PENUMBRA_END"
1338111809000,"PERICENTRE_PASSAGE_10703_/_SSP_(080.65,-68.86)_/_SZA_093"
1338111845000,"OCC_MARS_200KM_END_/_RA_164.59_/_DE_007.90_/_OMP_(058.97,-57.10)_/_SZA_080"
1338112459000,"KLZ_AOS_05_/_RTLT_01149"
1338112516000,"BLK_AOS_05_/_RTLT_01149"
1338112582000,"800_KM_ASCEND"
1338112898000,"1200_KM_ASCEND"
1338113180000,"MRB_/_RANGE_06000KM_END"
1338113436000,"2000_KM_ASCEND"
1338114655000,"BLK_AOS_10_/_RTLT_01149"
1338114678000,"KLZ_AOS_10_/_RTLT_01149"
1338114732000,"4000_KM_ASCEND"
1338122342000,"CEB_AOS_02_/_RTLT_01150"
1338123242000,"MAD_AOS_05_/_RTLT_01150"
1338123268000,"CEB_AOS_05_/_RTLT_01150"
1338123558000,"MAD_AOS_06_/_RTLT_01150"
1338124393000,"APOCENTRE_PASSAGE_10704"
1338124820000,"MAD_AOS_10_/_RTLT_01150"
1338124847000,"CEB_AOS_10_/_RTLT_01150"
1338125308000,"CAN_LOS_10_/_RTLT_01150"
1338126530000,"CAN_LOS_06_/_RTLT_01150"
1338126832000,"CAN_LOS_05_/_RTLT_01150"
1338133532000,"NNO_LOS_10_/_RTLT_01151"
1338134046000,"4000_KM_DESCEND"
1338134681000,"MAR_PENUMBRA_START"
1338134701000,"MAR_UMBRA_START"
1338134972000,"NNO_LOS_05_/_RTLT_01151"
1338135351000,"2000_KM_DESCEND"
1338135390000,"NNO_LOS_04_/_RTLT_01151"
1338135895000,"1200_KM_DESCEND"
1338136215000,"800_KM_DESCEND"
1338136335000,"MRB_/_RANGE_06000KM_START"
1338136402000,"OCC_MARS_200KM_START_/_RA_164.69_/_DE_007.85_/_OMP_(239.68,-59.99)_/_SZA_104"
1338136464000,"MAR_UMBRA_END"
1338136476000,"MAR_PENUMBRA_END"
1338136973000,"PERICENTRE_PASSAGE_10704_/_SSP_(338.37,-69.02)_/_SZA_093"
1338137009000,"OCC_MARS_200KM_END_/_RA_164.69_/_DE_007.85_/_OMP_(316.56,-57.22)_/_SZA_080"
1338137568000,"MRB_AOS_00"
1338137691000,"MRB_AOS_10"
1338137745000,"800_KM_ASCEND"
1338138062000,"1200_KM_ASCEND"
1338138600000,"2000_KM_ASCEND"
1338139896000,"4000_KM_ASCEND"
1338140076000,"MRB_/_RANGE_06000KM_END"
1338140355000,"MLG_AOS_00_/_RTLT_01152"
1338140633000,"MRB_LOS_10"
1338141725000,"MLG_AOS_05_/_RTLT_01152"
1338141983000,"MRB_LOS_00"
1338143255000,"MLG_AOS_10_/_RTLT_01152"
1338149558000,"APOCENTRE_PASSAGE_10705"
1338150395000,"GDS_AOS_05_/_RTLT_01153"
1338150690000,"GDS_AOS_06_/_RTLT_01153"
1338151868000,"GDS_AOS_10_/_RTLT_01153"
1338154735000,"BLK_LOS_10_/_RTLT_01153"
1338154736000,"KLZ_LOS_10_/_RTLT_01153"
1338156872000,"BLK_LOS_05_/_RTLT_01153"
1338156951000,"KLZ_LOS_05_/_RTLT_01153"
1338159040000,"BLK_LOS_00_/_RTLT_01153"
1338159200000,"KLZ_LOS_00_/_RTLT_01153"
1338159212000,"4000_KM_DESCEND"
1338159842000,"MAR_PENUMBRA_START"
1338159862000,"MAR_UMBRA_START"
1338160346000,"MRB_/_RANGE_06000KM_START"
1338160516000,"2000_KM_DESCEND"
1338161060000,"1200_KM_DESCEND"
1338161380000,"800_KM_DESCEND"
1338161562000,"OCC_MARS_200KM_START_/_RA_164.79_/_DE_007.80_/_OMP_(136.70,-59.67)_/_SZA_104"
1338161636000,"MAR_UMBRA_END"
1338161648000,"MAR_PENUMBRA_END"
1338162138000,"PERICENTRE_PASSAGE_10705_/_SSP_(236.06,-69.20)_/_SZA_093"
1338162177000,"OCC_MARS_200KM_END_/_RA_164.79_/_DE_007.80_/_OMP_(214.42,-57.22)_/_SZA_080"
1338162695000,"MRB_/_RANGE_06000KM_END"
1338162911000,"800_KM_ASCEND"
1338163227000,"1200_KM_ASCEND"
1338163766000,"2000_KM_ASCEND"
1338164804000,"MAD_LOS_10_/_RTLT_01154"
1338164831000,"CEB_LOS_10_/_RTLT_01154"
1338165062000,"4000_KM_ASCEND"
1338165350000,"MAD_LOS_08_/_RTLT_01154"
1338166381000,"MAD_LOS_05_/_RTLT_01154"
1338166409000,"CEB_LOS_05_/_RTLT_01154"
1338166836000,"CEB_LOS_04_/_RTLT_01154"
1338173806000,"MRB_AOS_00"
1338174725000,"APOCENTRE_PASSAGE_10706"
1338175616000,"CAN_AOS_05_/_RTLT_01155"
1338175901000,"MRB_AOS_10"
1338177137000,"CAN_AOS_10_/_RTLT_01155"
1338177322000,"CAN_AOS_11_/_RTLT_01155"
1338177612000,"MLG_LOS_10_/_RTLT_01155"
1338179143000,"MLG_LOS_05_/_RTLT_01155"
1338179969000,"MLG_LOS_02_/_RTLT_01155"
1338181863000,"NNO_AOS_00_/_RTLT_01155"
1338183189000,"NNO_AOS_05_/_RTLT_01156"
1338183261000,"MRB_/_RANGE_06000KM_START"
1338184381000,"4000_KM_DESCEND"
1338184628000,"NNO_AOS_10_/_RTLT_01156"
1338185005000,"MAR_PENUMBRA_START"
1338185025000,"MAR_UMBRA_START"
1338185686000,"2000_KM_DESCEND"
1338185848000,"MRB_LOS_10"
1338186053000,"MRB_LOS_00"
1338186230000,"1200_KM_DESCEND"
1338186550000,"800_KM_DESCEND"
1338186729000,"OCC_MARS_200KM_START_/_RA_164.89_/_DE_007.75_/_OMP_(034.16,-59.51)_/_SZA_104"
1338186808000,"MAR_UMBRA_END"
1338186820000,"MAR_PENUMBRA_END"
1338187308000,"PERICENTRE_PASSAGE_10706_/_SSP_(133.72,-69.35)_/_SZA_093"
1338187345000,"OCC_MARS_200KM_END_/_RA_164.89_/_DE_007.75_/_OMP_(111.89,-57.38)_/_SZA_080"
1338187513000,"MRB_/_RANGE_06000KM_END"
1338188080000,"800_KM_ASCEND"
1338188397000,"1200_KM_ASCEND"
1338188935000,"2000_KM_ASCEND"
1338190232000,"4000_KM_ASCEND"
1338191721000,"GDS_LOS_10_/_RTLT_01156"
1338192899000,"GDS_LOS_06_/_RTLT_01156"
1338193193000,"GDS_LOS_05_/_RTLT_01156"
1338196516000,"KLZ_AOS_00_/_RTLT_01157"
1338196651000,"BLK_AOS_00_/_RTLT_01157"
1338198769000,"KLZ_AOS_05_/_RTLT_01157"
1338198823000,"BLK_AOS_05_/_RTLT_01157"
1338199893000,"APOCENTRE_PASSAGE_10707"
1338200963000,"BLK_AOS_10_/_RTLT_01157"
1338200987000,"KLZ_AOS_10_/_RTLT_01157"
1338208619000,"CEB_AOS_02_/_RTLT_01158"
1338209524000,"MAD_AOS_05_/_RTLT_01158"
1338209547000,"4000_KM_DESCEND"
1338209551000,"CEB_AOS_05_/_RTLT_01158"
1338209840000,"MAD_AOS_06_/_RTLT_01158"
1338210165000,"MAR_PENUMBRA_START"
1338210185000,"MAR_UMBRA_START"
1338210852000,"2000_KM_DESCEND"
1338211101000,"MAD_AOS_10_/_RTLT_01158"
1338211128000,"CEB_AOS_10_/_RTLT_01158"
1338211396000,"1200_KM_DESCEND"
1338211588000,"CAN_LOS_10_/_RTLT_01158"
1338211687000,"MRB_/_RANGE_06000KM_START"
1338211716000,"800_KM_DESCEND"
1338211890000,"OCC_MARS_200KM_START_/_RA_164.99_/_DE_007.70_/_OMP_(291.26,-59.20)_/_SZA_104"
1338211979000,"MAR_UMBRA_END"
1338211991000,"MAR_PENUMBRA_END"
1338212474000,"PERICENTRE_PASSAGE_10707_/_SSP_(031.43,-69.52)_/_SZA_093"
1338212512000,"OCC_MARS_200KM_END_/_RA_164.99_/_DE_007.70_/_OMP_(009.67,-57.42)_/_SZA_080"
1338212807000,"CAN_LOS_06_/_RTLT_01158"
1338213109000,"CAN_LOS_05_/_RTLT_01158"
1338213246000,"800_KM_ASCEND"
1338213500000,"MRB_AOS_00"
1338213562000,"1200_KM_ASCEND"
1338214069000,"MRB_AOS_10"
1338214101000,"2000_KM_ASCEND"
1338215098000,"MRB_LOS_10"
1338215362000,"MRB_/_RANGE_06000KM_END"
1338215397000,"4000_KM_ASCEND"
1338217145000,"MRB_LOS_00"
1338219805000,"NNO_LOS_10_/_RTLT_01159"
1338221244000,"NNO_LOS_05_/_RTLT_01159"
1338221645000,"NNO_LOS_04_/_RTLT_01159"
