,ut_ms,sunmars_km,earthmars_km,sunmarsearthangle_deg,solarconstantmars,eclipseduration_min,occultationduration_min,round_time,season,group
0,1219363200000,241938908.363002,355756044.048925,19.5650758165222,522.263999026823,4.16666666666667,27.4,1,1,Distance_shift-1
1,1219449600000,241800159.82512003,356303701.299971,19.390074964884697,522.863536732556,1.78333333333333,26.9333333333333,2,1,Distance_shift-1
2,1219536000000,241660298.97633597,356843151.49501497,19.2147343649455,523.468926197049,0.0,26.5833333333333,3,1,Distance_shift-1
3,1219622400000,241519333.695108,357374355.342686,19.0390523929577,524.080160732136,0.0,26.1,4,1,Distance_shift-1
4,1219708800000,241377271.952611,357897265.710581,18.8630292247608,524.697233328856,0.0,25.75,5,1,Distance_shift-1
5,1219795200000,241234121.81310096,358411830.797199,18.6866671679489,525.320136649074,0.0,25.25,6,1,Distance_shift-1
6,1219881600000,241089891.434286,358917997.988541,18.5099708365253,525.948863016975,0.0,24.8833333333333,7,1,Distance_shift-1
7,1219968000000,240944589.067687,359415718.06385696,18.3329471203306,526.583404410461,0.0,24.4,8,1,Distance_shift-1
8,1220054400000,240798223.05900097,359904949.220077,18.1556049255903,527.2237524524189,0.0,24.033333333333303,9,1,Distance_shift-1
9,1220140800000,240650801.84846002,360385660.29468596,17.977954709682102,527.869898401886,0.0,23.516666666666698,10,1,Distance_shift-1
10,1220227200000,240502333.971184,360857832.68626404,17.8000078858576,528.521833145091,0.0,23.1333333333333,11,1,Distance_shift-1
11,1220313600000,240352828.057533,361321460.789867,17.621776205738897,529.179547186394,0.0,22.6333333333333,12,1,Distance_shift-1
12,1220400000000,240202292.833458,361776551.142457,17.443271221867303,529.8430306390931,0.0,22.216666666666697,13,1,Distance_shift-1
13,1220486400000,240050737.12084103,362223120.740804,17.264503894305697,530.512273216132,0.0,21.7,14,1,Distance_shift-1
14,1220572800000,239898169.83784303,362661195.062721,17.085484355573097,531.187264220678,0.0,21.283333333333303,15,1,Distance_shift-1
15,1220659200000,239744599.999235,363090806.221084,16.906221808324197,531.867992536591,0.0,20.733333333333302,16,1,Distance_shift-1
