,ut_ms,description,round_time
0,1219370902000,MAR_PENUMBRA_START,0
1,1219371152000,MAR_PENUMBRA_END,0
2,1219395566000,MAR_PENUMBRA_START,0
3,1219395791000,MAR_PENUMBRA_END,0
4,1219420228000,MAR_PENUMBRA_START,0
5,1219420417000,MAR_PENUMBRA_END,0
6,1219444882000,MAR_PENUMBRA_START,0
7,1219445050000,MAR_PENUMBRA_END,0
8,1219469557000,MAR_PENUMBRA_START,1
9,1219469664000,MAR_PENUMBRA_END,1
10,1219494240000,MAR_PENUMBRA_START,1
11,1219494270000,MAR_PENUMBRA_END,1
12,1233923217000,MAR_PENUMBRA_START,168
13,1233923687000,MAR_PENUMBRA_END,168
14,1233947931000,MAR_PENUMBRA_START,168
15,1233948604000,MAR_PENUMBRA_END,168
16,1233972669000,MAR_PENUMBRA_START,169
17,1233973506000,MAR_PENUMBRA_END,169
18,1233997423000,MAR_PENUMBRA_START,169
19,1233998381000,MAR_PENUMBRA_END,169
20,1234022186000,MAR_PENUMBRA_START,169
21,1234023256000,MAR_PENUMBRA_END,169
22,1234046957000,MAR_PENUMBRA_START,169
23,1234048119000,MAR_PENUMBRA_END,169
24,1234071728000,MAR_PENUMBRA_START,170
25,1234072984000,MAR_PENUMBRA_END,170
26,1234096507000,MAR_PENUMBRA_START,170
27,1234097845000,MAR_PENUMBRA_END,170
28,1234121286000,MAR_PENUMBRA_START,170
29,1234122701000,MAR_PENUMBRA_END,170
30,1234146069000,MAR_PENUMBRA_START,171
31,1234147560000,MAR_PENUMBRA_END,171
32,1234170853000,MAR_PENUMBRA_START,171
33,1234172407000,MAR_PENUMBRA_END,171
34,1234195642000,MAR_PENUMBRA_START,171
35,1234197261000,MAR_PENUMBRA_END,171
36,1234220430000,MAR_PENUMBRA_START,171
37,1234222106000,MAR_PENUMBRA_END,171
38,1234245220000,MAR_PENUMBRA_START,172
39,1234246955000,MAR_PENUMBRA_END,172
40,1234270011000,MAR_PENUMBRA_START,172
41,1234271801000,MAR_PENUMBRA_END,172
42,1234294804000,MAR_PENUMBRA_START,172
43,1234296645000,MAR_PENUMBRA_END,172
44,1234319599000,MAR_PENUMBRA_START,173
45,1234321492000,MAR_PENUMBRA_END,173
46,1234344393000,MAR_PENUMBRA_START,173
47,1234346332000,MAR_PENUMBRA_END,173
48,1234369193000,MAR_PENUMBRA_START,173
49,1234371178000,MAR_PENUMBRA_END,173
50,1234393989000,MAR_PENUMBRA_START,173
51,1234396017000,MAR_PENUMBRA_END,173
52,1234418787000,MAR_PENUMBRA_START,174
53,1234420860000,MAR_PENUMBRA_END,174
54,1234443585000,MAR_PENUMBRA_START,174
55,1234445697000,MAR_PENUMBRA_END,174
56,1234468385000,MAR_PENUMBRA_START,174
57,1234470536000,MAR_PENUMBRA_END,174
58,1234493186000,MAR_PENUMBRA_START,175
59,1234495376000,MAR_PENUMBRA_END,175
60,1234517987000,MAR_PENUMBRA_START,175
61,1234520213000,MAR_PENUMBRA_END,175
62,1234542793000,MAR_PENUMBRA_START,175
63,1234545055000,MAR_PENUMBRA_END,175
64,1234567595000,MAR_PENUMBRA_START,175
65,1234569890000,MAR_PENUMBRA_END,176
66,1234592400000,MAR_PENUMBRA_START,176
67,1234594731000,MAR_PENUMBRA_END,176
68,1234617202000,MAR_PENUMBRA_START,176
69,1234619563000,MAR_PENUMBRA_END,176
70,1234642008000,MAR_PENUMBRA_START,176
71,1234644400000,MAR_PENUMBRA_END,176
72,1234666813000,MAR_PENUMBRA_START,177
73,1234669235000,MAR_PENUMBRA_END,177
74,1234691619000,MAR_PENUMBRA_START,177
75,1234694070000,MAR_PENUMBRA_END,177
76,1234716428000,MAR_PENUMBRA_START,177
77,1234718908000,MAR_PENUMBRA_END,177
78,1234741235000,MAR_PENUMBRA_START,177
79,1234743741000,MAR_PENUMBRA_END,178
80,1234766045000,MAR_PENUMBRA_START,178
81,1234768580000,MAR_PENUMBRA_END,178
82,1234790851000,MAR_PENUMBRA_START,178
83,1234793410000,MAR_PENUMBRA_END,178
84,1234815662000,MAR_PENUMBRA_START,178
